,y.val
1,100.0
2,100.7194244604317
3,101.4388489208633
4,102.158273381295
5,102.8776978417266
6,103.5971223021583
7,104.3165467625899
8,105.0359712230216
9,105.7553956834532
10,106.4748201438849
11,107.1942446043166
12,107.9136690647482
13,108.6330935251799
14,109.3525179856115
15,110.0719424460432
16,110.7913669064748
17,111.5107913669065
18,112.2302158273381
19,112.9496402877698
20,113.6690647482014
21,114.3884892086331
22,115.1079136690647
23,115.8273381294964
24,116.5467625899281
25,117.2661870503597
26,117.9856115107914
27,118.705035971223
28,119.4244604316547
29,120.1438848920863
30,120.863309352518
31,121.5827338129496
32,122.3021582733813
33,123.0215827338129
34,123.7410071942446
35,124.4604316546763
36,125.1798561151079
37,125.8992805755396
38,126.6187050359712
39,127.3381294964029
40,128.0575539568345
41,128.7769784172662
42,129.4964028776978
43,130.2158273381295
44,130.9352517985612
45,131.6546762589928
46,132.3741007194245
47,133.0935251798561
48,133.8129496402878
49,134.5323741007194
50,135.2517985611511
51,135.9712230215827
52,136.6906474820144
53,137.4100719424461
54,138.1294964028777
55,138.8489208633094
56,139.568345323741
57,139.568345323741
58,139.568345323741
59,139.568345323741
60,139.568345323741
61,139.568345323741
62,139.568345323741
63,139.568345323741
64,139.568345323741
65,139.568345323741
66,139.568345323741
67,139.568345323741
68,139.568345323741
69,139.568345323741
70,139.568345323741
71,139.568345323741
72,139.568345323741
73,139.568345323741
74,139.568345323741
75,139.568345323741
76,139.568345323741
77,139.568345323741
78,139.568345323741
79,139.568345323741
80,139.568345323741
81,139.568345323741
82,139.568345323741
83,139.568345323741
84,139.568345323741
85,139.568345323741
86,139.568345323741
87,139.568345323741
88,139.568345323741
89,139.568345323741
90,139.568345323741
91,139.568345323741
92,139.568345323741
93,139.568345323741
94,139.568345323741
95,139.568345323741
96,139.568345323741
97,139.568345323741
98,139.568345323741
99,139.568345323741
100,139.568345323741
101,139.568345323741
102,139.568345323741
103,139.568345323741
104,139.568345323741
105,139.568345323741
106,139.568345323741
107,139.568345323741
108,139.568345323741
109,139.568345323741
110,139.568345323741
111,139.568345323741
112,139.568345323741
113,139.568345323741
114,139.568345323741
115,139.568345323741
116,139.568345323741
117,139.568345323741
118,139.568345323741
119,139.568345323741
120,139.568345323741
121,139.568345323741
122,139.568345323741
123,139.568345323741
124,139.568345323741
125,139.568345323741
126,139.568345323741
127,139.568345323741
128,139.568345323741
129,139.568345323741
130,139.568345323741
131,139.568345323741
132,139.568345323741
133,139.568345323741
134,139.568345323741
135,139.568345323741
136,139.568345323741
137,139.568345323741
138,139.568345323741
139,139.568345323741
140,139.568345323741
